央视,#genre#
CCTV1[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225816/index.m3u8
CCTV3[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225799/index.m3u8
CCTV5[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225507/index.m3u8
CCTV6[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225814/index.m3u8
CCTV7[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225671/index.m3u8
CCTV9[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225676/index.m3u8
CCTV10[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225677/index.m3u8
CCTV12[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225669/index.m3u8
CCTV14[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225674/index.m3u8
CCTV17[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225708/index.m3u8
北京卫视[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225678/index.m3u8
上海卫视[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225672/index.m3u8
湖北卫视[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225569/index.m3u8
湖南卫视[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225506/index.m3u8
江苏卫视[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225503/index.m3u8
深圳卫视[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225668/index.m3u8
天津卫视[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225665/index.m3u8
浙江卫视[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225514/index.m3u8
北京冬奥纪实[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225670/index.m3u8
求索动物[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225730/index.m3u8
求索纪录[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225713/index.m3u8
求索科学[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225728/index.m3u8
求索生活[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225715/index.m3u8
上海纪实人文[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225673/index.m3u8
NewTV爱情喜剧[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225533/index.m3u8
NewTV超级影视[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225637/index.m3u8
NewTV超级电影[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225644/index.m3u8
NewTV超级体育[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225635/index.m3u8
NewTV超级综艺[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225642/index.m3u8
NewTV潮妈辣婆[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225542/index.m3u8
NewTV东北热剧[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225679/index.m3u8
NewTV动作电影[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225555/index.m3u8
NewTV古装剧场[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225524/index.m3u8
NewTV家庭剧场[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225538/index.m3u8
NewTV家庭剧场[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225682/index.m3u8
NewTV金牌综艺[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225525/index.m3u8
NewTV惊悚悬疑[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225553/index.m3u8
NewTV精品大剧[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225536/index.m3u8
NewTV精品纪录[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225545/index.m3u8
NewTV精品体育[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225526/index.m3u8
NewTV军旅剧场[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225560/index.m3u8
NewTV军事评论[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225535/index.m3u8
NewTV明星大片[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225550/index.m3u8
NewTV农业致富[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225552/index.m3u8
NewTV武搏世界[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225547/index.m3u8
NewTV炫舞未来[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225646/index.m3u8
NewTV怡伴健康[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225571/index.m3u8
NewTV中国功夫[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225604/index.m3u8
黑莓电竞[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225559/index.m3u8
黑莓电影[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225681/index.m3u8
黑莓动画[1920*1080],http://[2409:8087:1a01:df::7005]/PLTV/88888888/224/3221225529/index.m3u8
黑龙江移动全网,#genre#
CCTV1[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$5.5M_1080
CCTV1[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8$4.0M_1080
CCTV2[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8$5.5M_1080
CCTV3[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8$4.0M_1080
CCTV4[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8$4.0M_1080
CCTV5[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8$4.0M_1080
CCTV5[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226469/index.m3u8$4.0M_1080
CCTV5+[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8$4.0M_1080
CCTV6[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8$4.0M_1080
CCTV7[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8$4.1M_1080
CCTV9[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8$4.0M_1080
CCTV10[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226473/index.m3u8$5.5M_1080
CCTV10[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225730/index.m3u8$4.0M_1080
CCTV11[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226565/index.m3u8$5.5M_1080
CCTV12[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226568/index.m3u8$5.5M_1080
CCTV12[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225731/index.m3u8$4.0M_1080
CCTV13[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226571/index.m3u8$5.5M_1080
CCTV13[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226537/index.m3u8$4.1M_1080
CCTV14[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226591/index.m3u8$5.5M_1080
CCTV14[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225732/index.m3u8$4.0M_1080
CCTV15[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226476/index.m3u8$5.5M_1080
CCTV16[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226100/index.m3u8$4.0M_1080
CCTV17[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225765/index.m3u8$4.0M_1080
东南卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226341/index.m3u8$7.9M_1080
上海卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226345/index.m3u8$8.0M_1080
上海卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225735/index.m3u8$4.1M_1080
北京卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225728/index.m3u8$4.1M_1080
北京卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226450/index.m3u8$4.1M_1080
重庆卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226409/index.m3u8$7.9M_1080
天津卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226459/index.m3u8$7.9M_1080
天津卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225740/index.m3u8$4.1M_1080
广东卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226248/index.m3u8$7.9M_1080
深圳卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226313/index.m3u8$8.0M_1080
深圳卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225739/index.m3u8$4.1M_1080
河南卫视[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226480/index.m3u8$8.0M_1080
