数字频道/固定源,#genre#
古装剧场[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225663/index.m3u8
家庭剧场[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225677/index.m3u8
爱情喜剧[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225669/index.m3u8
欢乐剧场[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225742/index.m3u8
热播精选[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225671/index.m3u8
潮妈辣婆[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225685/index.m3u8
东北热剧[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225741/index.m3u8
炫舞未来[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225719/index.m3u8
黑莓电影[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225743/index.m3u8
黑莓动画[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225662/index.m3u8
纪实人文[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225738/index.m3u8
纪实科教[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225729/index.m3u8
怡伴健康[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225673/index.m3u8
农业致富[1920*1080],http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225683/index.m3u8
黑莓动画[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010002/1.m3u8
古装剧场[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010004/1.m3u8
家庭剧场[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010074/1.m3u8
动作电影[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010003/1.m3u8
爱情喜剧[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010000/1.m3u8
东北热剧[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010021/1.m3u8
欢乐剧场[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010025/1.m3u8
超级电影[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010064/1.m3u8
黑莓电影[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010073/1.m3u8
军旅剧场[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010079/1.m3u8
精品大剧[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010072/1.m3u8
中国功夫[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010087/1.m3u8
超级影视[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010065/1.m3u8
哒啵赛事[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010120/1.m3u8
农业致富[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010085/1.m3u8
热播精选[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010121/1.m3u8
炫舞未来[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010039/1.m3u8
纪实人文[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010067/1.m3u8
精品萌宠[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010146/1.m3u8
军事评论[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010080/1.m3u8
精品体育[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010078/1.m3u8
超级综艺[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010062/1.m3u8
电子竞技[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010084/1.m3u8
金牌综艺[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010086/1.m3u8
精品纪录[1920*1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010076/1.m3u8


