央视备用1,#genre#
青海卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
海南卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
海南卫视[1047*576],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
海南卫视[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
宁夏卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
宁夏卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
宁夏卫视[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
甘肃卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
甘肃卫视[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
陕西卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
陕西卫视[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
吉林卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
吉林卫视[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
辽宁卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
辽宁卫视[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
新疆卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
新疆卫视[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
西藏卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
西藏卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
西藏卫视[1047*576],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
西藏卫视[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
内蒙古卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
内蒙古卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
内蒙古卫视[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
黑龙江卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视[1920*1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
央视备用2,#genre#
CCTV1[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
CETV1[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
CETV2[1024*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
CETV3[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
CETV4[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8
卫视备用2,#genre#
浙江卫视[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
四川卫视[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
重庆卫视[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
安徽卫视[1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
