港澳频道,#genre#
纬来精彩[720p],http://61.221.215.25:8800/hls/48/index.m3u8
纬来精采[720p],http://61.221.215.25:8800/hls/48/index.m3u8
纬来育乐[720p],rtmp://220.130.201.73/sat/tv701
纬来育乐[720p],rtmp://f13h.mine.nu/sat/tv701
综艺[720p],http://37.27.111.214:8080/live/67/hls.m3u8
美亚C+[1080p],http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
面包台[720p],https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港33台[1080p],https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
香港34台[1080p],https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
香港35台[1080p],https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
香港凤凰频道[1080p],http://146.56.153.245:20121/bysid/259
龙华日韩[720p],http://37.27.111.214:8080/live/42/hls.m3u8
